Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-2197,51.046208208284824,141.26281283985065,552.2772258759443,164404.1482257662
STARLINK-2198,-36.80112162037502,-72.81231167783544,531.7581131753826,152414.6634907941
STARLINK-2209,-39.691761990322036,-78.0601010346084,560.3708919770626,169258.16891989816
STARLINK-2210,-25.026407297683345,-95.99567453844926,554.5444481983114,165756.75097524005
STARLINK-2211,28.540544912239664,87.56272141289085,546.3133217898009,160872.6010640742
STARLINK-2213,-49.043827708000116,-56.91962440148906,564.6222496123504,171836.12798696695
STARLINK-2223,49.49175339860961,124.66599367090177,551.5025086764884,163943.2297511133
STARLINK-2257,-22.14459289993526,85.84167304174362,553.6391078320547,165215.96914890897
STARLINK-2314,-53.099687412674974,-16.423406549384467,566.6180411947586,173053.06626946534
STARLINK-2315,3.3099889966566236,86.04027840742388,547.101920178565,161337.37258753862
STARLINK-2319,32.87685830103305,-135.34514953576743,548.1737291615348,161970.1330386023
STARLINK-2322,25.117006755406933,124.09158433532382,547.6098982230063,161637.11158512664
STARLINK-2334,-28.392072917130374,59.71818639830463,555.7770647098447,166494.44325355708
STARLINK-2338,-43.75326144554295,-50.697292396073486,562.7290806752961,170685.73254143432
STARLINK-2347,-51.12438125352444,15.468372651818937,565.1374557916081,172149.86491955453
STARLINK-2373,-19.225667362124298,-81.3155855444302,551.734110132521,164080.953379542
STARLINK-2377,3.580253226907459,111.24831923207728,547.5554330349858,161604.96038442673
STARLINK-2379,27.958326204442415,-119.82877757751021,546.9594768338817,161253.37199311398
STARLINK-2380,15.649851925936039,-108.52455396813451,546.82724637884,161175.4136425229
STARLINK-2381,31.358224412616288,110.68594916287195,548.8235555489198,162354.371997863
STARLINK-2383,-27.530026982628502,85.61683206800586,555.5401020865376,166352.4994710289
STARLINK-2384,-13.169237830810069,73.48262775934353,550.714308210243,163474.953403493
STARLINK-2385,-52.62783280200466,-18.11636813590315,565.8047879885037,172556.66497862616
STARLINK-2386,52.112907614634494,157.80831974806256,552.6470177670267,164624.38426515379
STARLINK-2387,43.83993087297743,144.48596687265623,550.3803169855698,163276.728506437
STARLINK-2388,46.67804565955643,-158.90587512392736,551.4897505913086,163935.64473576317
STARLINK-2389,-30.822712637356183,72.05927676815335,556.8512432871361,167138.64974112328
STARLINK-2391,17.045904541233455,-79.69636513710081,546.0941336238806,160743.5385085673
STARLINK-2392,-41.99707731000984,41.23168077193457,561.5023354558989,169942.35644250395
STARLINK-2393,52.540914003701815,-143.92769760078681,552.1142864424181,164307.15357930886
STARLINK-2395,39.435613388200494,141.52775565434763,549.6230961336441,162827.76080460212
STARLINK-2396,-44.29328656566699,-34.56980626583059,562.2071583068054,170369.26270710796
STARLINK-2399,-10.412454967045143,-68.53588934700953,549.3575758499788,162670.47618372395
STARLINK-2400,53.115187488866795,-161.82669429439278,552.233837857574,164378.31739418017
STARLINK-2401,46.6094329102538,161.32809488702534,550.901641923189,163586.1892228897
STARLINK-2402,51.03084332244243,171.17952270732067,552.1942188713431,164354.73220894375
STARLINK-2403,2.14984028243729,-68.04381295290868,547.0393745952613,161300.4859932911
STARLINK-2406,-47.849198441947934,47.85025398076097,564.0524630501812,171489.48732955425
STARLINK-2407,-45.33797646995675,-17.256166837396893,562.6819420632816,170657.13778134264
STARLINK-2408,17.36466733525556,-89.97373381631682,546.3251939281375,160879.59310490728
STARLINK-2409,-25.67084692689736,-55.36530138923158,554.3677205722373,165651.1178582393
STARLINK-2410,47.56802531651841,-131.3444044346516,550.9536542948556,163617.08006322623
STARLINK-2411,36.15691983936689,-109.56923423555251,548.5104024550197,162169.1493758091
STARLINK-2413,-36.49057748251832,-52.60219202636354,558.7192335466829,168261.8834324892
STARLINK-2415,-29.157014193531147,-41.77003774942765,555.8504188631209,166538.39564258134
STARLINK-2416,44.97866368638355,-114.80363496824772,550.3422332393361,163254.1333148301
STARLINK-2419,31.81319713876794,-94.08722608113038,547.537217244817,161594.20818326055
STARLINK-2420,34.04003552503819,-121.7872890371989,548.065803098142,161906.3610003577
STARLINK-2422,9.596734487771549,110.82924959149746,546.9659831549959,161257.20837406546
STARLINK-2423,-39.80345262924246,-37.87847156087959,560.2220019428797,169168.23738706892
STARLINK-2424,7.689005733409626,-82.22858901067818,547.0751318898934,161321.57353386687
STARLINK-2426,49.83732235078212,166.06114090911404,551.7705916056295,164102.65264618938
STARLINK-2427,15.137697199997126,95.24648827131585,547.5886406572662,161624.56270737344
STARLINK-2429,-36.24415249766432,70.30922850870373,559.1712062499464,168534.22250284173
STARLINK-2431,15.896456784359078,-118.7381843794194,545.4880554513057,160386.9366631037
