Satellite, Latitude, Longitude, Altitude
STARLINK-1484, 27.438891, -141.726470, 510.32
STARLINK-1486, -1.636711, 176.194715, 412.21
STARLINK-1487, -47.613887, -129.772477, 461.62
STARLINK-1493, -11.959078, -98.608592, 551.15
STARLINK-1494, 4.105421, -110.804781, 547.66
STARLINK-1499, 27.851422, -8.164410, 383.80
STARLINK-1502, 11.766820, 81.236810, 547.15
STARLINK-1509, -25.373884, 161.096766, 376.45
STARLINK-1511, 52.578278, 129.276260, 411.57
STARLINK-1459, -49.318216, -46.833976, 342.62
STARLINK-1462, 46.577273, 43.404983, 324.59
STARLINK-1463, 50.731857, 166.096012, 552.54
STARLINK-1470, 12.074803, -136.931755, 547.00
STARLINK-1482, -19.735227, -112.158150, 552.99
STARLINK-1485, 3.689736, 55.042374, 547.22
STARLINK-1488, -49.957209, -112.616002, 364.93
STARLINK-1489, 10.497079, 46.160738, 491.62
STARLINK-1490, -29.329925, -39.794425, 426.16
STARLINK-1491, 48.817614, 173.439135, 551.86
STARLINK-1492, -13.343320, -58.658043, 402.60
STARLINK-1496, 19.542600, 67.670954, 546.82
STARLINK-1497, -47.744844, -72.316840, 563.10
STARLINK-1498, 45.712179, -0.701066, 378.06
STARLINK-1505, 51.398168, 148.117588, 326.44
STARLINK-1510, 15.125627, 62.603511, 525.17
STARLINK-1512, 49.905516, 88.914027, 400.43
STARLINK-1513, -34.432050, -96.876100, 559.29
STARLINK-1517, -3.967639, -124.749921, 548.89
STARLINK-1522, -23.989363, -37.167592, 554.47
STARLINK-1523, -48.741958, -139.218359, 564.86
STARLINK-1526, -48.934553, -76.866254, 564.98
STARLINK-1534, -7.955615, 168.279970, 549.45
STARLINK-1544, -37.587198, -161.990294, 560.11
STARLINK-1555, 7.766777, -11.866563, 547.14
STARLINK-1556, 48.942534, 103.111095, 551.82
STARLINK-1557, 53.204158, 71.743256, 552.70
STARLINK-1558, 37.696072, 17.589142, 549.49
STARLINK-1560, 38.053923, 126.437302, 549.81
STARLINK-1565, -52.720069, -118.642605, 559.94
STARLINK-1567, 48.698527, 40.636214, 551.78
STARLINK-1569, 23.376094, 1.139444, 547.47
STARLINK-1580, 8.134164, 156.229224, 547.22
STARLINK-1581, -38.147195, -53.702286, 560.34
STARLINK-1582, -8.266632, -23.962486, 549.75
STARLINK-1591, -23.592964, -178.656497, 554.61
STARLINK-1524, 50.740865, 86.044794, 552.15
STARLINK-1527, 41.187324, 111.394547, 550.14
STARLINK-1540, -41.224698, -68.669843, 561.60
STARLINK-1541, 19.614122, -12.265143, 547.19
STARLINK-1543, 3.789265, -24.884028, 547.55
STARLINK-1548, -27.622152, -50.761807, 555.77
STARLINK-1554, 34.385892, 3.067358, 548.63
STARLINK-1564, -12.473219, -36.780794, 550.77
STARLINK-1570, -3.864769, 155.175400, 548.80
STARLINK-1572, -19.712757, 167.824894, 553.04
STARLINK-1573, -34.476264, -176.781127, 558.76
STARLINK-1574, 46.462633, 24.202193, 551.39
STARLINK-1577, 52.883228, 53.550091, 552.67
STARLINK-1583, -52.897711, -126.269603, 566.71
STARLINK-1525, -52.947934, -129.920068, 566.52
STARLINK-1533, 46.698011, 79.745994, 551.23
STARLINK-1536, 27.184574, -25.129209, 547.84
STARLINK-1538, -46.686524, -100.225262, 563.86
STARLINK-1542, 50.587132, 17.814719, 552.22
STARLINK-1549, 19.860920, 116.602618, 547.18
STARLINK-1551, 11.716642, -38.797494, 546.99
STARLINK-1552, -41.007545, 172.848265, 561.50
STARLINK-1559, -20.118390, -63.625686, 553.05
STARLINK-1563, 52.946603, 50.095730, 552.73
STARLINK-1566, 34.608298, 101.202054, 549.03
STARLINK-1568, -27.229209, 155.181350, 555.71
STARLINK-1571, 4.134063, 129.179346, 547.76
STARLINK-1578, 40.921185, -7.299388, 550.13
STARLINK-1579, -31.104712, 159.090318, 557.36
STARLINK-1585, 27.217692, 174.901772, 547.94
STARLINK-1588, -12.281660, 162.903432, 550.93
STARLINK-1593, -34.304056, 23.309242, 558.74
STARLINK-1601, 41.141067, -48.527158, 550.38
STARLINK-1602, -46.703251, 99.724983, 563.97
STARLINK-1604, -46.513712, 4.332777, 564.02
STARLINK-1605, -27.631103, 109.221732, 556.13
STARLINK-1614, -50.749534, 65.993160, 565.76
STARLINK-1618, 19.574705, -172.299799, 547.24
STARLINK-1619, -44.183495, 107.274282, 501.45
STARLINK-1621, -27.300331, -5.011623, 555.96
STARLINK-1622, 46.467138, -175.789762, 551.39
STARLINK-1623, -19.800349, -32.100447, 553.12
STARLINK-1624, 19.669676, 147.783692, 547.19
STARLINK-1625, -34.764143, 120.998065, 558.97
STARLINK-1630, 50.760146, -74.049382, 552.38
STARLINK-1637, 50.726778, -113.899950, 552.31
STARLINK-1639, 3.814853, 135.132874, 547.66
STARLINK-1643, 52.005250, -124.428781, 552.65
STARLINK-1586, -4.283353, 149.063509, 548.97
STARLINK-1590, 44.524181, -73.405090, 484.98
STARLINK-1594, -34.537953, -16.738304, 559.00
STARLINK-1596, -12.198960, 122.968560, 550.71
STARLINK-1597, -46.494696, 44.284140, 563.95
STARLINK-1606, 50.596872, -142.145528, 552.28
STARLINK-1608, -3.924868, -4.783191, 548.86
STARLINK-1611, -50.779584, 105.857082, 565.82
STARLINK-1616, -50.621784, 37.970626, 565.67
STARLINK-1629, -19.762169, 7.864738, 553.24
STARLINK-1631, -20.072118, 136.411132, 553.19
STARLINK-1636, -40.965451, 12.778136, 561.61
STARLINK-1642, 0.073871, -17.779939, 548.16
STARLINK-1667, 34.394579, 163.075903, 549.00
STARLINK-1545, 52.934512, -109.725055, 552.84
STARLINK-1587, 12.091930, -56.947971, 547.23
STARLINK-1595, -27.663930, 149.189975, 556.00
STARLINK-1598, 11.764923, 161.237595, 547.07
STARLINK-1600, 34.640708, -58.842137, 549.10
STARLINK-1603, -50.049876, 86.587264, 517.00
STARLINK-1610, 41.115964, -88.487407, 550.31
STARLINK-1612, 27.513818, -70.656680, 548.11
STARLINK-1626, 27.555069, -30.697468, 548.19
STARLINK-1627, -52.002242, 15.593860, 566.29
STARLINK-1628, 46.315364, -135.788433, 551.38
STARLINK-1633, -52.941092, 70.151336, 566.65
STARLINK-1635, -11.920968, -18.637100, 550.74
STARLINK-1640, -41.230784, 131.316595, 561.72
STARLINK-1641, -52.885986, 73.602418, 566.64
STARLINK-1734, -17.799708, 21.170206, 552.50
STARLINK-1654, -27.241618, 75.167944, 555.55
STARLINK-1673, 38.708463, 11.217963, 510.62
STARLINK-1686, -19.744802, 47.851323, 552.99
STARLINK-1695, 19.586646, -132.286215, 547.14
STARLINK-1710, 52.894165, -66.299209, 552.67
STARLINK-1719, -50.615622, 117.937395, 565.70
STARLINK-1721, 50.365997, -113.048542, 306.45
STARLINK-1723, 46.668395, -0.175811, 550.98
STARLINK-1725, 50.814279, -34.024515, 552.27
STARLINK-1727, -34.774672, -159.011484, 558.93
STARLINK-1738, 3.745412, -144.917612, 547.52
STARLINK-1750, -50.758043, 145.970831, 565.98
STARLINK-1752, 11.792402, -118.740187, 547.05
STARLINK-1759, -4.400069, -130.705567, 548.93
STARLINK-1760, 41.167729, -8.571816, 549.94
STARLINK-1762, -40.972392, 92.786936, 561.54
STARLINK-1764, -52.892597, 113.663434, 566.33
STARLINK-1765, 12.083943, 23.062813, 546.88
STARLINK-1767, 19.917433, 36.552542, 547.28
STARLINK-1547, 17.593303, -159.002551, 547.09
STARLINK-1553, -7.245546, 37.649730, 544.78
STARLINK-1575, 14.143560, -3.585646, 547.17
STARLINK-1646, -27.638985, -170.781787, 555.94
STARLINK-1653, 46.452564, -95.824672, 551.20
STARLINK-1656, 50.636192, -61.972190, 552.20
STARLINK-1657, 34.682335, 21.107512, 549.00
STARLINK-1661, -52.932982, 150.316658, 566.34
STARLINK-1665, -11.883683, 61.372813, 550.40
STARLINK-1666, -34.469718, 63.171628, 558.45
STARLINK-1690, 22.167265, -121.468717, 344.12
STARLINK-1707, 52.513459, -95.489634, 552.76
STARLINK-1713, -29.470252, 162.271109, 556.76
STARLINK-1722, 39.526350, -30.847931, 550.13
STARLINK-1726, -45.237138, 56.235060, 563.41
STARLINK-1739, -49.869681, 124.725095, 565.70
STARLINK-1763, -53.161685, 80.914985, 566.75
STARLINK-1651, 51.496476, -62.817668, 552.57
STARLINK-1670, -23.754998, -166.987546, 554.44
STARLINK-1689, -40.904141, -170.212089, 538.69
STARLINK-1711, -49.189816, 102.117295, 547.33
STARLINK-1724, 29.392611, -17.645375, 548.38
STARLINK-1742, 45.138853, -123.991505, 551.03
STARLINK-1758, -46.500772, 84.294430, 563.95
STARLINK-1769, -14.239617, 176.333270, 551.26
STARLINK-1770, 40.919501, -87.308287, 549.88
STARLINK-1771, 27.186845, -105.129486, 547.94
STARLINK-1644, 27.275195, 54.956279, 547.97
STARLINK-1648, -20.150049, 16.345172, 553.02
STARLINK-1659, 50.630232, 97.991070, 552.20
STARLINK-1663, 34.645632, -178.842339, 548.90
STARLINK-1672, -4.343754, 29.017431, 548.60
STARLINK-1678, 46.690700, 159.771055, 551.66
STARLINK-1687, -34.503631, -136.784189, 559.29
STARLINK-1692, -27.331441, -124.983322, 555.68
STARLINK-1693, -5.053439, 26.292269, 520.39
STARLINK-1694, -33.107584, -11.912031, 558.02
STARLINK-1696, 52.942348, 130.210887, 552.74
STARLINK-1697, 4.108340, -150.803043, 547.31
STARLINK-1699, -21.375468, 161.298946, 321.99
STARLINK-1700, 19.917381, -163.446311, 547.47
STARLINK-1701, -40.988623, -107.189310, 561.89
STARLINK-1664, -44.170009, -44.313688, 562.88
STARLINK-1671, 40.652070, 145.133384, 455.04
STARLINK-1676, 40.884640, 72.632095, 550.20
STARLINK-1679, 28.970732, 172.185450, 548.35
STARLINK-1680, 32.946516, 168.284201, 548.77
STARLINK-1681, -19.847813, -162.071230, 553.38
STARLINK-1709, -0.918431, 16.547417, 536.25
STARLINK-1714, 52.843129, 93.455471, 552.61
STARLINK-1730, 46.465851, 64.203538, 551.41
STARLINK-1733, 41.185487, 151.477799, 550.27
STARLINK-1735, -50.797761, -54.211965, 565.56
STARLINK-1740, 3.729073, 15.068407, 547.59
STARLINK-1741, -19.744127, -152.149702, 553.39
STARLINK-1748, 50.658940, -51.724455, 318.69
STARLINK-1531, -52.087547, -41.546672, 566.66
STARLINK-1660, 45.422409, 147.894195, 551.04
STARLINK-1675, 4.098713, 169.204658, 547.57
STARLINK-1677, 18.022120, -176.808482, 547.44
STARLINK-1682, -2.285105, 15.564848, 548.06
STARLINK-1683, 52.141656, 108.121190, 552.55
STARLINK-1705, 51.346566, 86.526314, 552.49
STARLINK-1708, -13.877243, -152.072594, 551.15
STARLINK-1712, 19.602942, 27.722930, 547.54
STARLINK-1728, 50.740853, 126.052025, 552.23
STARLINK-1729, -11.925648, -138.634560, 551.05
STARLINK-1732, 48.768822, 70.888113, 551.75
STARLINK-1736, 12.286369, -176.752373, 547.36
STARLINK-1737, 34.351485, 43.017191, 548.83
STARLINK-1746, 27.523517, 169.339321, 548.14
STARLINK-1749, -46.279626, -116.383851, 546.40
STARLINK-1755, -46.450704, -115.833011, 564.03
STARLINK-1715, 53.203294, -168.009281, 552.90
STARLINK-1716, -2.242087, 95.597873, 548.45
STARLINK-1718, -29.197542, -58.019343, 556.74
STARLINK-1720, -42.485537, -39.487044, 562.27
STARLINK-1773, -36.166804, -69.582699, 559.99
STARLINK-1775, 11.776311, 121.244324, 547.06
STARLINK-1776, -40.977828, -27.205592, 561.62
STARLINK-1780, -45.420767, 47.892569, 563.51
STARLINK-1781, -27.235591, -44.813399, 555.89
